Location,Date,Temperature,Weather Description,Humidity,Wind Speed,Date_Only
Bristol,2025-03-21 15:00:00,14.4,overcast clouds,72,5.98,2025-03-21
Bristol,2025-03-21 18:00:00,12.18,light rain,84,5.61,2025-03-21
Bristol,2025-03-21 21:00:00,10.51,light rain,98,4.26,2025-03-21
Bristol,2025-03-22 00:00:00,10.04,light rain,97,4.68,2025-03-22
Bristol,2025-03-22 03:00:00,10.09,light rain,93,4.49,2025-03-22
Bristol,2025-03-22 06:00:00,8.4,overcast clouds,94,3.19,2025-03-22
Bristol,2025-03-22 09:00:00,10.8,scattered clouds,85,4.12,2025-03-22
Bristol,2025-03-22 12:00:00,13.72,light rain,72,5.19,2025-03-22
Bristol,2025-03-22 15:00:00,14.61,light rain,63,4.9,2025-03-22
Bristol,2025-03-22 18:00:00,11.07,light rain,85,2.69,2025-03-22
Bristol,2025-03-22 21:00:00,7.97,few clouds,94,1.18,2025-03-22
Bristol,2025-03-23 00:00:00,6.76,scattered clouds,97,0.51,2025-03-23
Bristol,2025-03-23 03:00:00,6.28,scattered clouds,97,1.32,2025-03-23
Bristol,2025-03-23 06:00:00,5.72,scattered clouds,97,2.13,2025-03-23
Bristol,2025-03-23 09:00:00,10.2,scattered clouds,86,4.08,2025-03-23
Bristol,2025-03-23 12:00:00,12.42,broken clouds,81,4.75,2025-03-23
Bristol,2025-03-23 15:00:00,12.55,light rain,83,4.55,2025-03-23
Bristol,2025-03-23 18:00:00,10.97,light rain,93,3.3,2025-03-23
Bristol,2025-03-23 21:00:00,9.46,light rain,96,2.57,2025-03-23
Bristol,2025-03-24 00:00:00,9.58,light rain,98,2.43,2025-03-24
Bristol,2025-03-24 03:00:00,9.15,overcast clouds,98,2.13,2025-03-24
Bristol,2025-03-24 06:00:00,8.75,light rain,98,2.55,2025-03-24
Bristol,2025-03-24 09:00:00,9.49,light rain,91,3.39,2025-03-24
Bristol,2025-03-24 12:00:00,10.48,overcast clouds,84,4.18,2025-03-24
Bristol,2025-03-24 15:00:00,9.76,overcast clouds,80,3.24,2025-03-24
Bristol,2025-03-24 18:00:00,8.39,broken clouds,87,1.62,2025-03-24
Bristol,2025-03-24 21:00:00,6.7,scattered clouds,90,0.77,2025-03-24
Bristol,2025-03-25 00:00:00,6.12,broken clouds,90,0.63,2025-03-25
Bristol,2025-03-25 03:00:00,6.39,overcast clouds,89,0.69,2025-03-25
Bristol,2025-03-25 06:00:00,7.36,overcast clouds,90,1.12,2025-03-25
Bristol,2025-03-25 09:00:00,9.03,overcast clouds,86,2.15,2025-03-25
Bristol,2025-03-25 12:00:00,8.31,light rain,91,3.6,2025-03-25
Oxford,2025-03-20 15:00:00,17.8,few clouds,59,4.4,2025-03-20
Oxford,2025-03-20 18:00:00,13.82,few clouds,74,3.12,2025-03-20
Oxford,2025-03-20 21:00:00,8.86,scattered clouds,92,3.24,2025-03-20
Oxford,2025-03-21 00:00:00,8.49,broken clouds,91,3.24,2025-03-21
Oxford,2025-03-21 03:00:00,8.52,overcast clouds,92,3.33,2025-03-21
Oxford,2025-03-21 06:00:00,9.66,overcast clouds,86,5.01,2025-03-21
Oxford,2025-03-21 09:00:00,11.61,overcast clouds,81,6.41,2025-03-21
Oxford,2025-03-21 12:00:00,14.04,overcast clouds,75,6.47,2025-03-21
Oxford,2025-03-21 15:00:00,15.05,overcast clouds,72,6.42,2025-03-21
Oxford,2025-03-21 18:00:00,12.27,overcast clouds,83,4.75,2025-03-21
Oxford,2025-03-21 21:00:00,11.34,light rain,95,3.98,2025-03-21
Oxford,2025-03-22 00:00:00,10.99,light rain,98,3.92,2025-03-22
Oxford,2025-03-22 03:00:00,10.47,light rain,96,4.1,2025-03-22
Oxford,2025-03-22 06:00:00,9.87,overcast clouds,95,4.48,2025-03-22
Oxford,2025-03-22 09:00:00,10.85,overcast clouds,87,3.8,2025-03-22
Oxford,2025-03-22 12:00:00,14.49,light rain,69,4.15,2025-03-22
Oxford,2025-03-22 15:00:00,14.86,light rain,67,4.6,2025-03-22
Oxford,2025-03-22 18:00:00,11.16,light rain,87,2.77,2025-03-22
Oxford,2025-03-22 21:00:00,8.34,scattered clouds,94,1.52,2025-03-22
Oxford,2025-03-23 00:00:00,7.31,scattered clouds,95,0.8,2025-03-23
Oxford,2025-03-23 03:00:00,6.96,broken clouds,96,1.86,2025-03-23
Oxford,2025-03-23 06:00:00,6.59,broken clouds,96,2.78,2025-03-23
Oxford,2025-03-23 09:00:00,9.52,overcast clouds,95,3.61,2025-03-23
Oxford,2025-03-23 12:00:00,11.66,overcast clouds,89,4.75,2025-03-23
Oxford,2025-03-23 15:00:00,11.77,overcast clouds,88,4.17,2025-03-23
Oxford,2025-03-23 18:00:00,10.93,light rain,93,4.41,2025-03-23
Oxford,2025-03-23 21:00:00,9.45,light rain,96,3.09,2025-03-23
Oxford,2025-03-24 00:00:00,8.53,light rain,95,3.49,2025-03-24
Oxford,2025-03-24 03:00:00,7.67,overcast clouds,97,2.81,2025-03-24
Oxford,2025-03-24 06:00:00,7.37,overcast clouds,97,3.58,2025-03-24
Oxford,2025-03-24 09:00:00,7.92,overcast clouds,91,3.66,2025-03-24
Oxford,2025-03-24 12:00:00,9.31,overcast clouds,83,4.07,2025-03-24
Oxford,2025-03-24 15:00:00,9.72,light rain,80,4.06,2025-03-24
Oxford,2025-03-24 18:00:00,8.59,overcast clouds,83,3.4,2025-03-24
Oxford,2025-03-24 21:00:00,5.56,broken clouds,85,2.97,2025-03-24
Oxford,2025-03-25 00:00:00,3.47,scattered clouds,91,0.6,2025-03-25
Oxford,2025-03-25 03:00:00,2.76,few clouds,91,0.55,2025-03-25
Oxford,2025-03-25 06:00:00,2.27,few clouds,91,0.96,2025-03-25
Oxford,2025-03-25 09:00:00,7.84,broken clouds,79,2.27,2025-03-25
Oxford,2025-03-25 12:00:00,10.5,broken clouds,76,3.06,2025-03-25
Norwich,2025-03-20 15:00:00,17.18,scattered clouds,54,4.03,2025-03-20
Norwich,2025-03-20 18:00:00,13.3,few clouds,72,3.11,2025-03-20
Norwich,2025-03-20 21:00:00,8.91,clear sky,79,3.0,2025-03-20
Norwich,2025-03-21 00:00:00,8.57,clear sky,81,3.2,2025-03-21
Norwich,2025-03-21 03:00:00,7.79,broken clouds,89,3.26,2025-03-21
Norwich,2025-03-21 06:00:00,7.88,broken clouds,90,4.76,2025-03-21
Norwich,2025-03-21 09:00:00,11.99,overcast clouds,76,6.76,2025-03-21
Norwich,2025-03-21 12:00:00,13.31,overcast clouds,69,7.88,2025-03-21
Norwich,2025-03-21 15:00:00,14.29,overcast clouds,67,6.78,2025-03-21
Norwich,2025-03-21 18:00:00,12.59,overcast clouds,75,5.2,2025-03-21
Norwich,2025-03-21 21:00:00,11.59,overcast clouds,77,4.36,2025-03-21
Norwich,2025-03-22 00:00:00,13.08,light rain,84,7.84,2025-03-22
Norwich,2025-03-22 03:00:00,10.04,overcast clouds,91,4.77,2025-03-22
Norwich,2025-03-22 06:00:00,10.37,overcast clouds,82,3.51,2025-03-22
Norwich,2025-03-22 09:00:00,12.02,overcast clouds,83,3.44,2025-03-22
Norwich,2025-03-22 12:00:00,15.54,overcast clouds,70,4.6,2025-03-22
Norwich,2025-03-22 15:00:00,14.39,overcast clouds,71,4.06,2025-03-22
Norwich,2025-03-22 18:00:00,11.26,overcast clouds,85,3.2,2025-03-22
Norwich,2025-03-22 21:00:00,10.18,overcast clouds,91,2.61,2025-03-22
Norwich,2025-03-23 00:00:00,9.87,overcast clouds,90,2.2,2025-03-23
Norwich,2025-03-23 03:00:00,8.99,overcast clouds,93,2.5,2025-03-23
Norwich,2025-03-23 06:00:00,9.06,overcast clouds,96,2.48,2025-03-23
